Hazard Leopard Team Member Leading,Phase of Hazards Project,IPCC CID Category for Reference Only,Climate Hazard,Hazard Definition and Climate Change Effects on Drivers,Sector,Project Tags,IPCC CID for Reference Only,Finer Resolution Categories,Climate Variable Categories,Confidence in the Projected Hazard Data,Identified Climate Proxies for this Hazard,Technical Description of the Proxy,What is the Connection Between the Proxy and the Hazard?,What are the Change Dimensions Indicated by the Proxy?,How Well Does the Proxy Represent the Hazard?,What Is the Level of Confidence in the Direction of the Proxy?,What Is the Level of Confidence in the Magnitude of the Proxy? ,,What Is the Data Resolution?,Datasets Technical Documentation,Access to the Data Portal,"Data ""Readiness""",Data Citations,Data Source Evaluation Against CCCS Data Standards,CCCR Link,Overall Trend for the Hazard by 2100,,End-User Type,General Comments,Expert Reviewer,
Callie,Phase 1,Heat and Cold,Extreme Heat,"Mechanisms and Drivers
Extreme heat in Canada is driven by persistent high pressure systems in the atmosphere, in many areas it is also influenced by humidity. Extreme heat in the atmosphere is formed through complex interactions between various atmospheric and oceanic processes. 

The role of climate change
Temperature is a key indicator of climate change, as increasing GHG emissions causes warming of the lower atmosphere. Changes in extreme temperatures are closely related to changes in mean temperature (CCCR, 2019), so as mean temperatures rise so will extreme hot temperatures. Extreme heat is a dangerous weather condition that is becoming more common and severe as climate change warms the planet. Extreme heat will become more frequent and more intense, with magnitude changes proportional to the magnitude of mean temperature changes (CCCR, 2019). The urban heat island effect also can exacerbate extreme heat and heat waves by buildings abosorbing and retaining heat, making many urban areas warmer than rural areas (ClimateData.ca). The impacts of extreme heat can range from impacts on human health, agriculture, and can impact fire weather. ",Infrastructure,CCCR2025,Extreme Heat,N/A,Air Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Maximum mean daily air temperatures,Change in hottest summertime daily temperatures experienced in a year (oC),"Maximum mean daily air temperatures describes the change in hottest summertime daily temperatures experienced in a year. This is a relevant proxy because it reflects the change in annual hottest summertime daily temperatures, which is reflective of changes in the intensity in the hottest sumertime day over time. The annual maximum daily mean temperature depends on the single most extreme hot day in the year (CRBCPI, 2020).

This proxy is important because it is a climate design data variable used in designs under the National Building Code of Canada (NBCC) and/or the Canadian Highway Bridge Design Code (CHBDC). This climate data variable is included in Environment and Climate Change Canada's Climate Resilient Buildings and Core Public Infrastructure Report (CRBCPI) as well as in the Pacific Climate Impacts Consortium's Design Value Explorer (DVE). It is important to account for future climate change in the designs of buildings and infrastructure. 

There is generally ""high confidence in future projections of climatic design data related to surface temperature at regional scales"" (CRBCPI, 2020), however in comparison to annual mean temperature projections, there is greater uncertainty for projections of temperature related design data due to higher internal variability, uncertainties from the downscaling and bias adjustments, and higher uncertainty in climate model performance for extremes (CRBCPI, 2020). Confidence in projections at individual locations is also lower since there is ""lower confidence that the local details of the simulation of temperature are well represented in CanRCM4"" (CRBCPI, 2020).
",Intensity,Moderate,High,Moderate,CRBCPI/DVE data,0.44x0.1° (~50x50 km),https://climate-scenarios.canada.ca/?page=buildings-report#,CRBCPI/DVE,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes","Increase in the intensity,  frequency and duration of hot extremes.",,,,,
Callie,Phase 1,Heat and Cold,Extreme Heat,"<b> Mechanisms and Drivers </b>
Extreme heat events in Canada are driven by persistent high-pressure systems, and in many areas influenced by humidity levels. These conditions are intensified by complex interactions between atmospheric and oceanic processes. 
<b> Role of Climate Change </b>
Temperature is a primary indicator of climate change, as increasing greenhouse gas emissions leads to the warming of the lower atmosphere. Changes in extreme temperatures are closely related to changes in mean temperature. As a result, with continued warming, extreme heat will occur more frequently, and with greater intensity. Urban areas will be particularly affected due to the heat island effect, increasing risks to human health and infrastructure.",Infrastructure,DST,Extreme Heat,N/A,Air Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Design Temperatures July 2.5% Dry Bulb,"This proxy represents a summer temperature at which only the 2.5% of all hourly outdoor temperatures in July, typically the hottest month, are at or above this value. This temperature is high enough that it is only reached or exceeded by the hottest 2.5% of hours throughout July, helping engineers and designers plan for summer conditions by providing a reliable reference for the hottest end of the temperature range. ","Design temperatures July 2.5% dry is the change in amount of hot summertime temperatures. The July 2.5% dry bulb design temperatures were ""estimated based on simulated hourly mean near surface air temperatures from the 15 CanRCM4 LE simulations with archived hourly temperatures"" (CRBCPI, 2020). This proxy is labelled as 'TJul97.5 July Temperature 97.5%' on the DVE.

This proxy represents the change in the extreme temperature that is exceeded 2.5% of the time during the month of July (typically the hottest month of the year in Canada) and is primarily shows the changes in intensity and frequency of extreme heat. 

This proxy is important because it is a climate design data variable used in designs under the National Building Code of Canada (NBCC) and/or the Canadian Highway Bridge Design Code (CHBDC). This climate data variable is included in Environment and Climate Change Canada's Climate Resilient Buildings and Core Public Infrastructure Report (CRBCPI) as well as in the Pacific Climate Impacts Consortium's Design Value Explorer (DVE). It is important to account for future climate change in the designs of buildings and infrastructure. 

There is generally ""high confidence in future projections of climatic design data related to surface temperature at regional scales"" (CRBCPI, 2020), however in comparison to annual mean temperature projections, there is greater uncertainty for projections of temperature related design data due to higher internal variability, uncertainties from the downscaling and bias adjustments, and higher uncertainty in climate model performance for extremes (CRBCPI, 2020). Confidence in projections at individual locations is also lower since there is ""lower confidence that the local details of the simulation of temperature are well represented in CanRCM4"" (CRBCPI, 2020).","Intensity, Frequency",Moderate,High,Moderate,CRBCPI/DVE data,0.44x0.1° (~50x50 km),https://climate-scenarios.canada.ca/?page=buildings-report#,CRBCPI/DVE – Design Value Summaries with temperature thresholds for extreme heat planning.,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes","Increase in the intensity,  frequency and duration of hot extremes.",,,,,"July Design temperatures inform insulation, ventilation, and cooling system specifications by accounting for extreme summer conditions. Understanding shifts in maximum temperatures helps optimize HVAC requirements to maintain occupant comfort, enhance energy efficiency, and reduce strain on cooling systems during the hottest periods of summer."
Callie,Phase 1,Heat and Cold,Extreme Heat,"<b> Mechanisms and Drivers </b>
Extreme heat events in Canada are driven by persistent high-pressure systems, and in many areas influenced by humidity levels. These conditions are intensified by complex interactions between atmospheric and oceanic processes. 
<b> Role of Climate Change </b>
Temperature is a primary indicator of climate change, as increasing greenhouse gas emissions leads to the warming of the lower atmosphere. Changes in extreme temperatures are closely related to changes in mean temperature. As a result, with continued warming, extreme heat will occur more frequently, and with greater intensity. Urban areas will be particularly affected due to the heat island effect, increasing risks to human health and infrastructure.",Infrastructure,DST,Extreme Heat,N/A,Air Temperature,Tier 1: High - Strong agreement in direction of change and amount of change,Design Temperatures July 2.5% Wet Bulb,"This proxy reflects both heat and humidity, representing a temperature that only the hottest 2.5% of hourly outdoor temperatures in July, typically the hottest month, reach or exceed, considering moisture in the air.
Caution Note: Unlike the dry bulb temperature, which only measures air temperature, the wet bulb temperature combines air temperature and humidity, capturing the impact of heat and moisture on occupants and building systems.","Design temperatures July 2.5% wet is the change in amount of hot summertime temperatures while also considering humidity. The July 2.5% wet bulb temperature values ""were calculated from hourly mean relative humidity and air temperature output"" (CRBCPI, 2020). This proxy is labelled as 'TwJul97.5 July Wet-Bulb Temperature 97.5%' on the DVE.

This proxy represents the change in the extreme temperature that is exceeded 2.5% of the time during the month of July (typically the hottest month of the year in Canada) and is primarily shows the changes in intensity and frequency of extreme heat. 

This proxy is important because it is a climate design data variable used in designs under the National Building Code of Canada (NBCC) and/or the Canadian Highway Bridge Design Code (CHBDC). This climate data variable is included in Environment and Climate Change Canada's Climate Resilient Buildings and Core Public Infrastructure Report (CRBCPI) as well as in the Pacific Climate Impacts Consortium's Design Value Explorer (DVE). It is important to account for future climate change in the designs of buildings and infrastructure. 

There is generally ""high confidence in future projections of climatic design data related to surface temperature at regional scales"" (CRBCPI, 2020), however in comparison to annual mean temperature projections, there is greater uncertainty for projections of temperature related design data due to higher internal variability, uncertainties from the downscaling and bias adjustments, and higher uncertainty in climate model performance for extremes (CRBCPI, 2020). Confidence in projections at individual locations is also lower since there is ""lower confidence that the local details of the simulation of temperature are well represented in CanRCM4"" (CRBCPI, 2020).","Intensity, Frequency",Moderate,High,Medium,CRBCPI/DVE data,0.44x0.1° (~50x50 km),https://climate-scenarios.canada.ca/?page=buildings-report#,CRBCPI/DVE – Design Value Summaries with temperature thresholds for extreme heat planning.,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.4: Average warming and extreme heat events

Regional Perspectives (2020-2022)
•	Case Story 3.5: Local actions to address extreme heat

National Issues Report (2021)
•	Discussed in multiple chapters
•	Ch 2.1.2 Climate change impacts in cities and towns
•	Box 2.4: Extreme heat
•	Case Story 5.7: Addressing urban heat island in Kingston, Ontario by increasing the urban tree canopy

Canada’s Changing Climate Report (2019)
•	Ch 4: Temperature
•	Ch 2.2.1: Global annual and extreme temperature changes","Increase in the intensity,  frequency and duration of hot extremes.",,,,,"July Design temperatures inform insulation, ventilation, and cooling system specifications by accounting for extreme summer conditions. Understanding shifts in maximum temperatures and humidity helps optimize HVAC requirements to maintain occupant comfort, enhance energy efficiency, and reduce strain on cooling systems during the hottest and most humid periods of summer."
Jeremy,Phase 1,Coastal,Flood - Coastal/Storm Surge,"See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding",General,CCCR2025,Coastal flood,N/A,"See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding",,"See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding","See Hazard/Impact: Sea Level Rise, Storm Surge and Coastal Flooding",
Jeremy,Phase 1,Wet and Dry,Flood - Ice jam,"<b> Mechanisms and Drivers </b>
Ice jams occur when river ice obstructs water flow, causing potential flooding. This can happen either as new ice forms, constricting flow, or as ice breaks up in spring, moving downstream and becoming trapped in narrow sections of a river. Spring ice jams are particularly damaging as they coincide with high flow conditions from snowmelt. Ice jams are responsible for a significant percentage of flood events in Canada, especially in northern areas where up to 50% of floods may be ice-induced.
<b> Role of Climate Change </b>
The effect of climate change on ice jam floods varies by location and depends on river ice characteristics, breakup patterns, and seasonal conditions. Warmer temperatures may reduce ice cover, potentially decreasing ice jam frequency in some areas. Conversely, increased spring flows from rain-on-snow events in areas that retain significant ice cover could increase ice jam occurrences. The dominance of particular climate change influenced ice jam flood mechanisms must therefore be assessed on a case-by-case basis.",General,"DST, CCCR2025",River Flood,Riverine flooding - Ice jam,Air Temperature,,Icing Days,"An Icing Day is defined as a day when the daily maximum temperature (Tmax) is at or below 0°C. This proxy is useful for understanding conditions that sustain river ice, setting the stage for potential ice jam flooding.
Caution Note: Currently, there is no single, compound proxy that adequately capture the specific conditions needed for ice jams (e.g., ice thickness, snowmelt rates, intense rain events, or river flow rates). This proxy only indicates the presence of freezing temperatures.","Each winter and spring, river ice jams generate flooding and cause significant damage in Canada and in other cold countries of the world. These ice jams are mostly associated with dynamic river-ice breakup events, characterized by the rupture and mobilization of a resistant ice cover by a rapidly rising discharge. The combination of a competent ice cover subject to a significant increase in runoff (caused by high snowmelt rates or an intense rain event) is the normal scenario leading to an ice jam flood.",Frequency,Poor,Low,Low,CanDCS-U5/U6,6x10 km,,Climate Atlas of Canada,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",Varies by region. The onset of lake ice freeze-up is projected to occur later and breakup earlier,,,,Turcotte?,"Reduced Icing Days may lower ice jam flooding risks in some areas, but regions with persistent freezing and high flow rates remain vulnerable. This proxy helps inform building resilience planning to address potential ice-related impacts."
Jeremy,Phase 1,Wet and Dry,Flood - Pluvial/Heavy Precipitation,"<b> Mechanisms and Drivers </b>
Pluvial flooding, or surface flooding, results from extreme rainfall events that exceed the land's capacity to absorb or drain water. This form of flooding is not tied to specific water bodies but occurs when the rainfall rate is too high for local drainage systems.
<b> Role of Climate Change </b>
As the atmosphere warms, it holds more moisture, leading to increased rainfall intensity during storm events. Climate change can accelerate the water cycle, which may lead to more frequent and intense precipitation events in certain regions, thereby increasing the risk of pluvial flooding in some urban and rural areas.",General,"DST, CCCR2025",Heavy Precipitation and pluvial flood,N/A,Precipitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Wet Days >= 20mm,"This proxy counts the number of days per year when precipitation equals or exceeds 20 mm. It indicates the frequency of heavy rainfall events.
Caution Note: Since this proxy includes all forms of precipitation, it may not fully represent rainfall-induced flood risks in colder areas where precipitation falls as snow.","This measure provides an estimate of changes to the frequency of heavy rainfall, above a standard high limit.  It is closely related to pluvial flood hazard.  This limit may be more or less applicable in different parts of the country (for example, on the maritime southern coasts, this may not represent truly extreme conditions, whereas in the dry Canadian Arctic, it may).  For area-specific threshold, the user should be directed to the Analyze Page on climatedata.ca, to generate an indice using their own threshold.

Caution should be used for this proxy, because it represents total precipitation.  Thus, there is no indication whether the contributing precipitation fell as rain or snow.",Frequency,Moderate,Moderate,Medium,CanDCS-U5/U6,6x10 km,,"ClimateData.ca – Offers precipitation data, including days with 20 mm or more precipitation.",Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",Increasing in frequency and duration,,,,Xuebin Zhang?,"Increased heavy rainfall days (Wet Days ≥ 20 mm) can overwhelm urban drainage systems, posing risks to buildings that could lead to structural damage and flooded basements. "
Jeremy,Phase 1,Wet and Dry,Flood - Pluvial/Heavy Precipitation,"<b> Mechanisms and Drivers </b>
Pluvial flooding, or surface flooding, results from extreme rainfall events that exceed the land's capacity to absorb or drain water. This form of flooding is not tied to specific water bodies but occurs when the rainfall rate is too high for local drainage systems.
<b> Role of Climate Change </b>
As the atmosphere warms, it holds more moisture, leading to increased rainfall intensity during storm events. Climate change can accelerate the water cycle, which may lead to more frequent and intense precipitation events in certain regions, thereby increasing the risk of pluvial flooding in some urban and rural areas.",General,"DST, CCCR2025",Heavy Precipitation and pluvial flood,N/A,Precipitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Max 1-day Total Precipitation (Spring),"This proxy reflects the largest daily precipitation total in spring, a season when heavy rain can trigger pluvial flooding. It serves as an indicator of the severity of single-day rainfall events.
Caution Note: Like Wet Days, this proxy includes all precipitation types, not distinguishing between rain and snow.","This measure provides an estimate of changes to the severity of heavy rainfall.  It is closely related to pluvial flood hazard

Caution should be used for this proxy, because it represents total precipitation.  Thus, there is no indication whether the contributing precipitation fell as rain or snow. ",Intensity,Moderate,Moderate,Medium,CanDCS-U5/U6,0.44x0.1° (~50x50 km),,"ClimateData.ca – Provides data on maximum daily precipitation totals, particularly useful for spring flood risk analysis.",Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",Increasing in frequency and duration,,,,Zhuebin Zhang?,"Single-day rainfall extremes can increase pluvial flood risk, stressing local drainage systems and buildings."
,Phase 1,Wet and Dry,Flood - Pluvial/Heavy Precipitation,"Mechanisms and drivers
Pluvial flooding occurs when heavy rainfall creates a flood event that isn't related to a particular water body (lake, river, ocean, etc.).  Essentially it is when it rains so hard that the water builds up on the ground faster than it can drain.

The role of climate change 
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Climate change will impact Canadian pluvial flooding by increasing the intensity of extreme precipitation events.  This will occur primarily because a warmer atmosphere is able to hold more moisture, thus allowing for more rainfall to occur during individual rain events. ",General,CCCR2025,Heavy Precipitation and pluvial flood,,Precipitation,,PCIC Climate Explorer data (TBA),,,,,,,,,,,,,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",,,,,,
Jeremy,Phase 1,Wet and Dry,Flood - Pluvial/Heavy Precipitation,"<b> Mechanisms and Drivers </b>
Pluvial flooding, or surface flooding, results from extreme rainfall events that exceed the land's capacity to absorb or drain water. This form of flooding is not tied to specific water bodies but occurs when the rainfall rate is too high for local drainage systems.
<b> Role of Climate Change </b>
As the atmosphere warms, it holds more moisture, leading to increased rainfall intensity during storm events. Climate change can accelerate the water cycle, which may lead to more frequent and intense precipitation events in certain regions, thereby increasing the risk of pluvial flooding in some urban and rural areas.",General,"DST, CCCR2025",Heavy Precipitation and pluvial flood,N/A,Precipitation,"Tier 2: Medium - Agreement about direction of change, uncertainty about amount of change",Climate Change-Scaled Intensity-Duration-Frequency (IDF) Data,"IDF curves represent the statistical likelihood of a range of rainfall events of varying durations (traditionally, from 5 minutes to 24 hours) and average intensities (over the specified time period).  The likelihood of these events is determined using a return period approach, which is equivalent to a %/year chance of a particular duration/intensity rainfall event occurring (or more accurately, being met or exceeded). The dataset referenced here provides Climate Change-Scaled IDF Data for a series of point-based locations.
Caution Note: IDF data represent extreme rainfall directly, and thus, more directly applicable to flooding than total precipitation-based metrics.","IDF curves provide a concise set of pluvial flood-relevant statistics, and thus are close proxies to the hazard.  Also, they explicitly represent rainfall, so are more directly applicable to flooding than total precipitation-based metrics.","Frequency, Intensity, Duration",Good ,High,Medium,ClimateData.ca IDF curve datasets,,,ClimateData.ca – Provides historical and Climate Change-Scaled IDF curves for rainfall intensity analysis.,Currently Available,,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",Increasing in frequency and duration,,,,Zhuebin Zhang?,"IDF data support flood planning and resilient building design, enabling accurate assessments of rainfall-driven flood risks for buildings."
Jeremy,Phase 1,Wet and Dry,Flood - Spring freshet,"Mechanisms and drivers
Spring freshet flooding occurs when there is a combination of large snowpack and warm temperature leading to rapid melt.  Freshet flooding is often exacerbated by rain-on-snow events.  

The role of climate change
An accelerated water cycle, driven by climate change, is intensifying hydrological processes in Canada. Rapid evaporation, increased precipitation, and faster water cycling are disrupting the traditional water balance, leading to more frequent and severe extremes like droughts and floods.

Climate change will cause changes to the average frequency and severity of spring freshet flooding, although both the direction and magnitude of change is very dependent on location.  For example, in southern maritime regions that may experience extensive snow loss, spring freshet flooding  frequency/magnitude could decrease.  Conversely, interior regions may experience greater freshet flooding in response to increased prevalence of rain-on-snow events in the presence of a continued substantial spring snowpack.  

",General,CCCR2025,River Flood,Riverine flooding - Spring freshet,Compound,"Tier 4: Not Applicable - Early stages of modelling and analysis, next steps and/or experiments proposed to advance scientific understanding",Narrative,"The impact of climate change on spring freshet flooding at national scale is in early stages.  Because spring freshet flooding is a highly compound event that depends on the superposition of both prior (antecedent) seasonal snowpack conditions and short-duration spring-time extreme weather events (heat and rain), predicting changes to freshet flooding is technically and statistically complex task.  For this reason, only a narrative is provided at this stage, that indicates the mechanisms for developing location-specific assessments.",Narrative to be written.,n/a,n/a,low,low,n/a,n/a,n/a,,Research Grade,TBD,,"Health in a Changing Climate (2022)
•	Ch 3.9 Precipitation and Storms
•	Ch 3.10 Floods, Coastal Flooding, and Coastal Erosion
•	Ch 7.3.3 Water Quantity

Regional Perspectives Report (2020-2022)
•	Atlantic Ch 1.2 Infrastructure is being threatened by increased flooding and erosion 
•	Quebec Ch 2.6.2 Flooding
•	Ontario Ch 3.2.2 Flooding

National Issues Report (2021)
•	Discussed in multiple chapters
•	Case Story 2.1: Enhancing infrastructure resilience in Fredericton, NB to reduce flood risk
•	Box 2.5: Urban flooding
•	Ch 4 Water Resources
•	Box 4.1: Flood management in Canada
•	Ch 4.2 Climate change creates risks for water resources

Canada’s Changing Climate Report (2019)
•	4.3.2: Extreme precipitation
•	Ch 4.4.1.1 2013 Southern Alberta flood
•	Ch 6.2.4: Streamflow-related floods
•	FAQ 6.1: Will there be more droughts and floods in Canada in a warmer climate?",Varies by region. Earlier spring freshets (the increased flow resulting from snow and ice melt in the spring) due to earlier peaks in spring snowmelt.,,,,Joel Trubilowicz,
,Phase 1,Wet and Dry,Flood - Spring freshet,"<b> Mechanisms and Drivers </b>
Spring freshet floods occur when snowpack melts rapidly, typically accelerated by warm temperatures or rain-on-snow events. This seasonal flooding can be exacerbated by high snow accumulation and sudden temperature increases in spring.
<b> Role of Climate Change </b>
Warmer temperatures could lead to less snow accumulation and earlier snowmelt in some areas, reducing freshet flood risk. However, in regions where substantial snowpack persists, warmer temperatures and rain-on-snow events could increase freshet flood frequency and severity. Therefore, climate change will cause changes to the average frequency and severity of spring freshet flooding, although both the direction and magnitude of change is very dependent on location.",General,"DST,",River Flood,Riverine flooding - Spring freshet,Compound,,Spring Maximum Temperature ,"Maximum temperature describes the warmest temperature of the 24-hour day. 
Caution Note: Currently, there is no single, compound proxy that adequately capture the specific conditions needed for spring freshet flood. The current research stage suggests a narrative approach, highlighting mechanisms for localized assessments rather than specific data-driven proxies.",,n/a,n/a,low,low,n/a,n/a,n/a,ClimateData.ca - Spring Maximum temperature projections ,,,,,,,,,Joel Trubilowicz,"Floods from snowmelt pose risks to buildings, leading to structural damage, foundation erosion, and flooded basements. "
